Path,op,Estimate,Est. Std,Std. Err,z-value,p-value
Ad Attitude → Purchase Intention,~,0.6869565616098923,0.6685861883186842,0.014415097291898845,47.6553538038415,0.0
Extraversion → Ad Attitude,~,1.314643321168539,0.67883337719603,0.18664189376810106,7.043666856461038,1.872502153332789e-12
Agreeableness → Ad Attitude,~,0.4038614439558271,0.25493298006761966,0.12746680147858858,3.1683657177237476,0.0015329854766288342
Conscientiousness → Ad Attitude,~,0.415273174164568,0.17585328068899267,0.23321050174502533,1.7806795622643765,0.07496481380445719
Neuroticism → Ad Attitude,~,-0.017582765551252346,-0.02146764837072968,0.1147062221546432,-0.15328519430615148,0.8781733759242858
Openness → Ad Attitude,~,0.8659489915601335,0.1805363730886588,0.6051352822994065,1.4310006652863643,0.1524300244637049
Extraversion → BFI_11,~,1.0,0.20905379317364328,-,-,-
Extraversion → BFI_12,~,2.6092587533792573,0.5382475041000974,0.21247169608359417,12.28050042176158,0.0
Extraversion → BFI_13,~,1.10079797438491,0.23105386041968176,0.11336231612201951,9.710440047734524,0.0
Agreeableness → BFI_21,~,1.0,0.25409928269166693,-,-,-
Agreeableness → BFI_22,~,1.2302901032623168,0.31095576047812507,0.14706334956387454,8.365715230221891,0.0
Agreeableness → BFI_23,~,0.4755865365047883,0.12236783044384894,0.09742701972238853,4.88146448341597,1.0530089031846046e-06
Conscientiousness → BFI_31,~,1.0,0.17102066779722672,-,-,-
Conscientiousness → BFI_32,~,1.3559169978431054,0.232050184720414,0.2575259915623944,5.265165623134096,1.400630289527527e-07
Conscientiousness → BFI_33,~,0.655281248569329,0.11170194333895746,0.17783825264587438,3.684703593385458,0.00022896894206159146
Neuroticism → BFI_41,~,1.0,0.5000209370296741,-,-,-
Neuroticism → BFI_42,~,0.05063115844984309,0.025102225640839276,0.3042045545724557,0.16643787112535582,0.8678123727148941
Neuroticism → BFI_43,~,-0.0024439130511501924,-0.001199180374558149,0.05889976662763862,-0.04149274591458054,0.9669030757971806
Openness → BFI_51,~,1.0,0.08447469114706835,-,-,-
Openness → BFI_52,~,2.07188660267117,0.1759310857887527,0.5938062473162783,3.4891626890616636,0.0004845361533294401
Openness → BFI_53,~,2.8269909128111053,0.23783769376064964,0.7773692575693041,3.6366126976090722,0.00027624681121074524
Ad Attitude → ad_att_1,~,1.0,0.8182460892243931,-,-,-
Ad Attitude → ad_att_2,~,1.2427908945690351,0.8599772754306839,0.02085013818259999,59.605882878348126,0.0
Ad Attitude → ad_att_3,~,0.6387734531539209,0.3302708051314142,0.02888273848056668,22.116097251706034,0.0
Ad Attitude → ad_att_4,~,0.10879072008461499,0.04625812111736825,0.03580765940360854,3.03819690796694,0.002379983848692424
Purchase Intention → intent_1,~,1.0,1.0000000000000002,-,-,-
Purchase Intention → intent_2,~,0.18340510200919824,0.14182065900617322,0.01993244619320901,9.20133435817241,0.0
Purchase Intention → intent_3,~,0.39103383670968483,0.3458482604008276,0.023193529607877173,16.859608835044202,0.0
